120158,-233.25,27,-573
120193,-238.5,15.75,-578.25
120228,-234,15.75,-573
120263,-239.25,23.25,-576
120298,-238.5,15.75,-573.75
120333,-241.5,22.5,-573
120368,-243,19.5,-575.25
120403,-231.75,17.25,-574.5
120438,-237.75,17.25,-574.5
120473,-232.5,17.25,-576.75
120508,-239.25,20.25,-576
120543,-239.25,19.5,-578.25
120578,-234.75,19.5,-576
120613,-232.5,21.75,-578.25
120648,-232.5,18,-576
120683,-239.25,15,-578.25
120719,-237,21,-576
120754,-236.25,19.5,-579
120789,-232.5,15,-571.5
120824,-235.5,20.25,-570
120859,-241.5,23.25,-576
120894,-236.25,20.25,-576
120929,-237.75,19.5,-581.25
120964,-240.75,21,-574.5
120999,-236.25,18,-572.25
121034,-240.75,20.25,-573.75
121069,-239.25,18,-577.5
121104,-243.75,17.25,-576
121139,-235.5,16.5,-576.75
121174,-234.75,11.25,-579
121209,-240.75,16.5,-574.5
121244,-231,14.25,-584.25
121279,-237.75,18,-578.25
121314,-238.5,18,-580.5
121349,-241.5,15,-579
121384,-239.25,18,-576.75
121420,-243,15,-582
121455,-236.25,18.75,-575.25
121490,-232.5,16.5,-573.75
121525,-239.25,16.5,-576.75
121560,-235.5,23.25,-576.75
121595,-240,21.75,-577.5
121630,-239.25,18.75,-575.25
121665,-242.25,16.5,-576
121700,-240,16.5,-582
121735,-234,19.5,-576.75
121770,-240.75,19.5,-576.75
121805,-233.25,21.75,-578.25
121840,-236.25,21.75,-573
121875,-233.25,20.25,-579.75
121910,-234.75,15.75,-579.75
121945,-237.75,18,-580.5
121980,-235.5,16.5,-576
122015,-237,16.5,-579
122050,-237.75,23.25,-579.75
122085,-236.25,18.75,-576
122121,-239.25,18,-578.25
122156,-237.75,18,-579.75
122191,-237,21,-574.5
122226,-234.75,21.75,-572.25
122261,-242.25,15.75,-573.75
122296,-234.75,23.25,-580.5
122331,-240.75,15,-579.75
122366,-234,17.25,-576.75
122401,-234.75,19.5,-571.5
122436,-240,17.25,-573.75
122471,-237.75,19.5,-580.5
122506,-241.5,17.25,-579.75
122541,-246,19.5,-567.75
122576,-240.75,20.25,-579
122611,-242.25,18,-579
122646,-239.25,18,-575.25
122681,-240,22.5,-576
122716,-234.75,24,-579
122751,-234,13.5,-575.25
122786,-231.75,22.5,-573.75
122821,-240,17.25,-573.75
122857,-237.75,18.75,-573.75
122892,-234.75,20.25,-575.25
122927,-237.75,22.5,-576.75
122962,-243.75,19.5,-576
122997,-244.5,15.75,-573.75
123032,-240,20.25,-583.5
123067,-237.75,16.5,-574.5
123102,-240,15,-579.75
123137,-235.5,17.25,-576
123172,-240,16.5,-573
123207,-237.75,22.5,-579.75
123242,-243,15.75,-578.25
123277,-237.75,19.5,-577.5
123312,-237,24.75,-578.25
123347,-239.25,21.75,-576
123382,-240.75,22.5,-577.5
123417,-237,16.5,-574.5
123452,-240,21.75,-578.25
123487,-239.25,14.25,-579.75
123522,-242.25,13.5,-582.75
123558,-237,17.25,-576
123593,-235.5,22.5,-579
123628,-236.25,18,-576.75
123663,-240.75,16.5,-579.75
123698,-237.75,19.5,-576.75
123733,-240,21.75,-574.5
123768,-238.5,19.5,-585.75
123803,-231.75,16.5,-576
123838,-236.25,22.5,-577.5
123873,-232.5,15.75,-578.25
123908,-231,15.75,-578.25
123943,-239.25,15.75,-576.75
123978,-237.75,17.25,-575.25
124013,-240,18.75,-575.25
124048,-237,21.75,-575.25
124083,-235.5,13.5,-581.25
124118,-235.5,19.5,-574.5
124153,-237,15.75,-584.25
124188,-234,23.25,-575.25
124223,-240.75,26.25,-583.5
124259,-233.25,18,-577.5
124294,-241.5,23.25,-577.5
124329,-241.5,20.25,-579
124364,-242.25,24.75,-573.75
124399,-243.75,17.25,-572.25
124434,-237.75,19.5,-576.75
124469,-240,20.25,-579
124504,-236.25,22.5,-574.5
124539,-240,21.75,-576.75
124574,-234,19.5,-579
124609,-234,23.25,-576.75
124644,-235.5,17.25,-579
124679,-244.5,18,-577.5
124714,-235.5,22.5,-579.75
124749,-239.25,24,-570
124784,-232.5,20.25,-576
124819,-241.5,12,-578.25
124854,-229.5,12.75,-573.75
124889,-238.5,21,-576.75
124924,-237.75,17.25,-573.75
124960,-240.75,21,-576
124995,-240.75,18.75,-576
125030,-236.25,18.75,-578.25
125065,-244.5,21,-574.5
125100,-237,18.75,-575.25
125135,-236.25,19.5,-577.5
125170,-236.25,18,-574.5
125205,-239.25,19.5,-578.25
125240,-237.75,23.25,-583.5
125275,-240.75,9,-576
125310,-238.5,16.5,-576
125345,-239.25,14.25,-577.5
125380,-240.75,15.75,-580.5
125415,-235.5,18.75,-573.75
125450,-240,21,-582
125485,-234.75,18.75,-576.75
125520,-234.75,21,-573
125555,-235.5,15,-578.25
125590,-236.25,13.5,-576.75
125625,-240,15.75,-578.25
125661,-243.75,26.25,-576.75
125696,-242.25,19.5,-576
125731,-237.75,15,-577.5
125766,-241.5,20.25,-576.75
125801,-240,18.75,-574.5
125836,-237,20.25,-582.75
125871,-240,14.25,-577.5
125906,-240.75,19.5,-576
125941,-237.75,21.75,-581.25
125976,-240,15,-579.75
126011,-237,21,-577.5
126046,-235.5,18.75,-570.75
126081,-238.5,15.75,-575.25
126116,-237,17.25,-577.5
126151,-233.25,18,-576.75
126186,-234.75,19.5,-579
126221,-235.5,19.5,-577.5
126256,-231,17.25,-573.75
126291,-237,18.75,-576
126326,-239.25,21.75,-577.5
126361,-241.5,16.5,-580.5
126397,-238.5,18.75,-573
126432,-238.5,15,-579.75
126467,-236.25,18,-580.5
126502,-240,16.5,-578.25
126537,-240,20.25,-576
126572,-239.25,12.75,-576.75
126607,-235.5,21,-580.5
126642,-237.75,18.75,-573.75
126677,-240,20.25,-579
126712,-237,15.75,-581.25
126747,-241.5,21.75,-587.25
126782,-239.25,18,-574.5
126817,-242.25,15,-578.25
126852,-238.5,21.75,-574.5
126887,-244.5,20.25,-575.25
126922,-231,17.25,-574.5
126957,-235.5,18.75,-576.75
126992,-238.5,15.75,-573.75
127027,-240,17.25,-579.75
127062,-238.5,19.5,-574.5
127098,-237.75,19.5,-576.75
127133,-238.5,21,-576
127168,-240.75,18,-575.25
127203,-237.75,15.75,-577.5
127238,-242.25,19.5,-577.5
127273,-236.25,18.75,-577.5
127308,-235.5,17.25,-573.75
127343,-237,23.25,-575.25
127378,-238.5,17.25,-573.75
127413,-246.75,19.5,-577.5
127448,-236.25,21.75,-580.5
127483,-237,21.75,-576
127518,-237,18,-576.75
127553,-237,23.25,-574.5
127588,-235.5,17.25,-576.75
127623,-237.75,18,-582.75
127658,-240.75,19.5,-577.5
127693,-238.5,18,-576.75
127728,-242.25,16.5,-576.75
127763,-240.75,21,-586.5
127799,-239.25,20.25,-577.5
127834,-240.75,19.5,-575.25
127869,-238.5,18.75,-579
127904,-234,18,-580.5
127939,-234.75,18,-571.5
127974,-234,19.5,-579
128009,-238.5,21,-578.25
128044,-238.5,22.5,-577.5
128079,-236.25,17.25,-576
128114,-233.25,22.5,-583.5
128149,-237,23.25,-584.25
128184,-243,19.5,-576.75
128219,-238.5,22.5,-574.5
128254,-237,19.5,-579.75
128289,-233.25,16.5,-581.25
128324,-238.5,20.25,-577.5
128359,-237.75,23.25,-580.5
128394,-235.5,15,-575.25
